step,ax,ay,aloss,sx,sy,sloss
0,-1.5,2,12.5,-1.5,2,12.5
1,-1.48,2.02,9.05402,-1.48,2.02,9.05402
2,-1.46054,2.03946,6.93256,-1.46052,2.03947,6.9313
3,-1.44233,2.05761,6.01655,-1.44227,2.05766,6.01524
4,-1.42642,2.07327,6.03648,-1.42629,2.07339,6.03958
5,-1.41396,2.08509,6.56325,-1.41378,2.08526,6.57438
6,-1.40573,2.09222,7.13619,-1.40537,2.09207,7.155
7,-1.40174,2.09473,7.4546,-1.40131,2.09414,7.46825
8,-1.40142,2.09336,7.44045,-1.40104,2.0923,7.43908
9,-1.40401,2.08901,7.16614,-1.40372,2.08749,7.14802
10,-1.40871,2.08251,6.76303,-1.40856,2.0806,6.73329
11,-1.41483,2.07462,6.36265,-1.41497,2.0724,6.32559
12,-1.42168,2.06599,6.06545,-1.42211,2.06348,6.03548
13,-1.42863,2.05725,5.92469,-1.42929,2.05452,5.91502
14,-1.43509,2.049,5.94065,-1.43588,2.04615,5.9578
15,-1.4405,2.04176,6.06675,-1.44127,2.03895,6.10672
16,-1.44444,2.03598,6.22944,-1.44515,2.03351,6.28089
17,-1.44664,2.03192,6.35651,-1.44712,2.03,6.39987
18,-1.44706,2.02963,6.40207,-1.44713,2.02846,6.42064
19,-1.44579,2.02904,6.35729,-1.44537,2.02871,6.34468
20,-1.44309,2.02989,6.24541,-1.44215,2.03043,6.20769
21,-1.43928,2.03185,6.10736,-1.43779,2.03319,6.05879
22,-1.43474,2.03454,5.98531,-1.4328,2.0366,5.94517
23,-1.42989,2.03754,5.90934,-1.42765,2.04016,5.89388
24,-1.42512,2.04044,5.89018,-1.4228,2.04339,5.90618
25,-1.4208,2.04285,5.91877,-1.41864,2.04585,5.96078
26,-1.41722,2.04447,5.97217,-1.41547,2.04713,6.02447
27,-1.41462,2.04507,6.02334,-1.41351,2.04712,6.06619
28,-1.41308,2.04454,6.05086,-1.41282,2.04578,6.06885
29,-1.41262,2.0429,6.04534,-1.41331,2.04321,6.03353
30,-1.41314,2.04023,6.01052,-1.41477,2.03963,5.97593
31,-1.41445,2.03674,5.95976,-1.417,2.03534,5.91719
32,-1.41631,2.03266,5.90999,-1.41959,2.03067,5.87822
33,-1.41846,2.02828,5.87535,-1.42217,2.02599,5.86808
34,-1.42061,2.02387,5.86265,-1.42439,2.02166,5.8829
35,-1.4225,2.01971,5.86996,-1.42597,2.01798,5.90903
36,-1.4239,2.01601,5.8885,-1.42675,2.0152,5.93088
37,-1.42466,2.01296,5.90679,-1.4266,2.01339,5.93584
38,-1.42467,2.01063,5.91541,-1.42552,2.01251,5.92156
39,-1.42396,2.00902,5.91027,-1.42367,2.01241,5.89496
40,-1.42257,2.00808,5.89333,-1.42127,2.01286,5.86762
41,-1.42066,2.00765,5.87091,-1.41858,2.01355,5.84965
42,-1.4184,2.00756,5.8505,-1.4159,2.01419,5.84545
43,-1.41599,2.00759,5.83766,-1.41351,2.01451,5.85226
44,-1.41363,2.00756,5.83409,-1.41163,2.01428,5.86251
45,-1.4115,2.00725,5.8376,-1.41039,2.01335,5.86826
46,-1.40975,2.00654,5.84359,-1.40987,2.01165,5.86469
47,-1.40846,2.00533,5.84726,-1.40997,2.00927,5.85315
48,-1.40766,2.00359,5.84561,-1.41055,2.00637,5.83871
